@relation segment

@attribute original numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Sobel_filter_0.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Derivatives_2_2_1.0 numeric
@attribute Derivatives_3_3_1.0 numeric
@attribute Derivatives_4_4_1.0 numeric
@attribute Derivatives_5_5_1.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Derivatives_2_2_2.0 numeric
@attribute Derivatives_3_3_2.0 numeric
@attribute Derivatives_4_4_2.0 numeric
@attribute Derivatives_5_5_2.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Derivatives_2_2_4.0 numeric
@attribute Derivatives_3_3_4.0 numeric
@attribute Derivatives_4_4_4.0 numeric
@attribute Derivatives_5_5_4.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Derivatives_2_2_8.0 numeric
@attribute Derivatives_3_3_8.0 numeric
@attribute Derivatives_4_4_8.0 numeric
@attribute Derivatives_5_5_8.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Derivatives_2_2_16.0 numeric
@attribute Derivatives_3_3_16.0 numeric
@attribute Derivatives_4_4_16.0 numeric
@attribute Derivatives_5_5_16.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
149,146.447372,146.447372,146.447372,-1.069455,-1.442544,-1.309485,-1.41957,-1.425441,-1.801507,0.736136,-0.960482,0.786323,-0.931128,0.715153,-1.022709,-0.843673,-1.065819,-0.128625,-1.48025,-0.920657,-1.068956,-0.305129,-1.311065,-0.076682,-1.293738,0.629456,-0.369591,0.034346,-0.866422,0.369659,-0.108076,0.76428,-1.079403,0.510223,-0.913266,0.815216,-1.063228,0.55744,-0.766433,0.94639,-0.760628,0.509672,-1.243891,0.801176,-0.785208,0.77576,-1.325789,75.604233,72.501808,-1.445768,-1.2358,0.400545,-5.280598,57.067944,0.02751,-0.006221,-0.033137,0.006605,36.185558,0.021045,-0.001434,0.000181,-0.000029,28.238911,-0.000431,-0.000064,0.000001,0,6.577931,-0.000025,0,0,0,144.583328,153.789474,135.736847,1445.833252,6.288467,143.513153,'class 1'
138,149.39473,149.39473,149.39473,-1.451329,-1.580101,-1.460028,-1.601883,-1.487475,-1.9793,0.664081,-0.788104,0.819437,-0.88667,0.922276,-0.872373,-0.93295,-1.499431,-0.554581,-1.202367,-1.035179,-1.399644,-0.691774,-1.302929,-0.138409,-1.584437,0.694416,-1.050602,-0.091214,-1.169748,0.500823,-0.664245,0.762921,-0.885805,0.440763,-1.049024,0.647907,-0.966707,0.268871,-0.943805,1.247396,-0.561108,0.636829,-0.975981,0.912602,-0.730233,0.803914,-1.203199,69.354164,66.441177,-1.874077,0.237422,-9.735274,-21.366709,50.923164,-0.068026,-0.018456,-0.040233,0.027453,36.821659,0.016908,-0.002095,0.00015,-0.000043,31.739307,-0.000654,-0.000058,0,0,6.710446,-0.000024,0,0,0,141.919586,152.342102,129.75,1419.195923,7.503767,141.102341,'class 1'
139,147.973679,149.39473,149.39473,-1.446714,-1.642891,-1.426847,-1.606885,-1.383636,-1.940381,0.847549,-0.740278,0.61286,-0.66745,0.73408,-0.597721,-0.985084,-1.690039,-0.728819,-1.413652,-1.147189,-1.684283,-0.733312,-1.300313,-0.05367,-1.657094,0.542161,-1.262848,-0.171466,-1.330485,0.137382,-1.185579,0.494719,-0.560491,0.671015,-0.701431,0.591066,-0.558654,0.820252,-0.612137,0.82168,-0.381372,0.438643,-0.681902,0.611722,-0.510548,0.474635,-0.790367,70.213959,65.404518,-0.428426,3.496271,8.135572,15.444542,41.732925,-0.158998,-0.035246,-0.024892,0.034236,26.037273,0.013498,-0.002129,0.000019,-0.000027,24.365992,-0.000194,-0.000068,0.000001,0,7.178147,-0.000028,0,0,0,143.829086,156.052628,129.944443,1438.290894,8.707335,145.819443,'class 1'
147,149.39473,149.39473,149.39473,-1.078443,-1.523702,-1.299419,-1.613604,-1.27307,-1.897346,0.948928,-0.783024,0.820317,-0.305191,1.032755,-0.244464,-0.852355,-1.764597,0.165471,-1.321546,-0.906874,-1.622466,0.11646,-1.12302,-0.010508,-1.73368,0.447828,-1.326755,-0.181821,-1.405637,0.063219,-1.33164,0.615159,-0.138048,1.144171,-0.485707,0.541251,-0.203393,1.040224,-0.758744,0.568507,-0.159926,0.328784,-0.327861,0.400272,-0.184451,0.198552,-0.22613,70.682388,64.796593,1.248967,0.712099,7.652138,15.973966,36.823822,-0.155496,-0.083988,0.007128,-0.022861,18.998316,0.008345,-0.00218,-0.000074,-0.000007,16.608118,0.000227,-0.000073,0.000002,0,7.089937,-0.00003,0,0,0,146.37529,159.552628,130.444443,1463.75293,10.434348,147.208328,'class 1'
138,147.973679,147.973679,147.973679,-1.385074,-1.790247,-1.360038,-1.659733,-1.316307,-1.892706,1.032223,-0.346942,1.060894,-0.221448,1.053461,0.061808,-0.882384,-1.727854,-0.242427,-1.597205,-1.027215,-1.673804,-0.503378,-1.550193,-0.005937,-1.752721,0.453578,-1.295761,-0.212392,-1.459038,0.009528,-1.266873,0.839315,-0.112004,1.278466,-0.571228,0.963271,-0.030699,0.892166,-0.491303,0.77842,-0.001845,0.440426,-0.033488,0.63456,0.006834,0.457078,-0.134235,63.953106,62.26976,-2.28549,-3.639802,-5.431647,-29.809038,51.491222,-0.102115,-0.036979,-0.018104,-0.023708,31.488056,0.008284,-0.002526,-0.000024,0.000019,22.292759,0.000159,-0.000065,0.000001,0,7.407091,-0.00003,0,0,0,144.807892,157.973679,128.305557,1448.078857,10.474456,145.541656,'class 1'
150,147.5,147.5,147.5,-0.837559,-1.508408,-1.126015,-1.460225,-1.170424,-1.771219,1.517189,-0.902332,1.219875,-0.493177,1.068437,-0.169659,-0.571597,-1.361017,0.854467,-1.090346,-0.666506,-1.263663,0.345362,-1.240579,0.071768,-1.708713,0.439714,-1.109754,-0.049521,-1.328076,0.148962,-0.904953,1.128569,-0.397192,1.483152,-0.695667,1.274221,-0.553851,1.505548,-1.099868,0.546189,-0.249052,0.649393,-0.197609,0.6019,-0.293816,0.844839,-0.37663,108.074051,102.260254,-0.146944,-5.364853,-1.206067,-2.392892,72.003838,0.03326,-0.043939,0.039415,-0.052133,35.914818,0.005565,-0.002536,-0.000066,0.00003,16.448458,0.000583,-0.000066,0.000002,0,6.922273,-0.000033,0,0,0,148.104401,162.342102,131.25,1481.043945,11.312607,148.708344,'class 1'
179,159.60527,164.342102,164.342102,-0.244585,-0.4502,-0.900379,-1.074847,-1.052997,-1.534712,0.775397,-0.675202,1.018451,-0.589542,1.001097,-0.484975,-0.250406,-0.745142,1.246403,0.246867,0.030778,-0.365663,1.387872,0.896485,0.18202,-1.374513,0.434688,-0.392568,0.185871,-0.941168,0.513269,-0.04661,0.919419,-0.495903,0.87801,-0.838393,0.90944,-0.507273,0.539112,-0.760842,0.976109,-0.544484,1.074303,-0.473118,0.970822,-0.580821,0.880534,-0.483005,64.637451,63.010151,5.04134,1.908029,8.890999,4.153634,54.360123,0.206364,-0.004803,0.100581,0.011165,38.625847,0.009222,-0.002472,-0.000078,0.000015,18.883278,0.000991,-0.000054,0.000003,0,6.306091,-0.000036,0,0,0,152.16301,166.10527,138.947372,1521.630127,10.210332,154.236115,'class 1'
179,159.078949,159.078949,161.921051,-0.118115,-0.591754,-0.857381,-1.054256,-1.050542,-1.484065,0.976433,-0.382801,0.978283,-0.116146,0.964767,-0.40147,-0.297795,-0.692263,1.118036,-0.204559,0.020032,-0.277094,1.471286,0.407068,0.188779,-1.106713,0.372515,-0.233924,0.228319,-0.711696,0.435111,0.11523,0.897936,-0.187594,1.174988,-0.646948,0.845026,0.142092,1.114336,-0.769354,1.067348,-0.480414,0.897942,-0.470847,1.081492,-0.465996,0.69417,-0.329068,67.955872,65.327141,3.449153,-4.08786,6.914993,-9.881588,53.988384,0.137715,-0.051268,0.046716,-0.040067,41.234329,0.014013,-0.00228,-0.000114,-0.000006,23.603624,0.001065,-0.000042,0.000003,0,6.408514,-0.000037,0,0,0,152.359512,164.763153,139,1523.595093,8.682306,153.25,'class 1'
177,162.078949,162.078949,162.078949,-0.126458,-0.719736,-0.68601,-0.907501,-0.907802,-1.333814,0.605921,0.040464,0.720054,-0.098621,0.917363,-0.270916,-0.142305,-0.599203,1.184949,-0.634554,-0.046389,-0.332809,1.21893,-0.379215,0.306102,-0.673525,0.671311,-0.11605,0.350005,-0.351086,0.42684,0.183666,0.576935,-0.118567,1.074268,-0.485677,0.526496,-0.006881,0.837139,-0.150723,1.147863,-0.369349,0.596239,-0.209964,0.941246,-0.348443,0.342384,-0.126447,34,33.267502,1.315246,-5.48752,1.649567,-11.460975,29.985022,0.077975,-0.111209,0.007341,-0.080451,29.162056,0.024133,-0.001653,-0.000106,-0.000035,21.300226,0.001487,-0.000027,0.000004,0,5.046049,-0.000041,0,0,0,155.214035,166.973679,142.342102,1552.140381,8.167389,155.444443,'class 1'
169,161.5,161.5,161.5,-0.580234,-0.770601,-0.613403,-0.831427,-0.818516,-1.123145,0.368883,-0.496753,0.697524,-0.233749,1.017547,-0.484776,-0.136549,-0.730157,0.685176,-1.104829,-0.266057,-0.708553,-0.161239,-0.689656,0.35173,-0.354359,0.674747,-0.273444,0.381924,-0.084172,0.440199,-0.245791,0.780774,-0.173879,0.648128,-0.765022,0.451633,-0.163614,0.40535,-0.963092,0.844534,0.089026,0.80157,-0.482695,0.708802,0.100885,0.44124,-0.099641,32.249031,29.656216,-0.238944,-1.420561,-4.771046,-16.930079,27.904732,0.136469,-0.028206,0.064358,0.002276,26.840282,0.038622,-0.000265,0.00008,-0.000002,15.688684,0.001829,-0.000006,0.000005,0,2.583677,-0.000047,0,0,0,156.449127,164.39473,150.027771,1564.491211,4.934731,154.424713,'class 1'
